movieId,title,year,clean_title,rating_count,rating_mean,rating_std,imdbId,tmdbId
2028,Saving Private Ryan (1998),1998,Saving Private Ryan,58368.0,4.0487423,0.89839053,0120815,857
608,Fargo (1996),1996,Fargo,58031.0,4.1165323,0.8950839,0116282,275
79132,Inception (2010),2010,Inception,57931.0,4.15717,0.84444314,1375666,27205
3578,Gladiator (2000),2000,Gladiator,57449.0,3.961183,0.9212191,0172495,98
780,Independence Day (a.k.a. ID4) (1996),1996,Independence Day (a.k.a. ID4),57224.0,3.3810987,1.0471555,0116629,602
457,"Fugitive, The (1993)",1993,"Fugitive, The",57073.0,3.969942,0.7799391,0106977,5503
2762,"Sixth Sense, The (1999)",1999,"Sixth Sense, The",57010.0,4.00321,0.84466326,0167404,745
150,Apollo 13 (1995),1995,Apollo 13,55940.0,3.8782089,0.85082835,0112384,568
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,Twelve Monkeys (a.k.a. 12 Monkeys),55275.0,3.9101853,0.8594078,0114746,63
4306,Shrek (2001),2001,Shrek,54844.0,3.7404912,0.95437074,0126029,808
4226,Memento (2000),2000,Memento,53658.0,4.1416006,0.79809487,0209144,77
364,"Lion King, The (1994)",1994,"Lion King, The",51518.0,3.8331554,0.9375158,0110357,8587
1704,Good Will Hunting (1997),1997,Good Will Hunting,50824.0,4.0911083,0.8088867,0119217,489
588,Aladdin (1992),1992,Aladdin,50442.0,3.7073174,0.9251623,0103639,812
592,Batman (1989),1989,Batman,49789.0,3.40992,0.8480798,0096895,268
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,Pirates of the Caribbean: The Curse of the Black Pearl,48722.0,3.7805305,0.9430665,0325980,22
1580,Men in Black (a.k.a. MIB) (1997),1997,Men in Black (a.k.a. MIB),48434.0,3.5937564,0.9004991,0119654,607
377,Speed (1994),1994,Speed,47210.0,3.4872272,0.9361661,0111257,1637
380,True Lies (1994),1994,True Lies,47148.0,3.4964898,0.9353695,0111503,36955
1240,"Terminator, The (1984)",1984,"Terminator, The",47131.0,3.902092,0.8787813,0088247,218
1197,"Princess Bride, The (1987)",1987,"Princess Bride, The",46957.0,4.119109,0.9212638,0093779,2493
590,Dances with Wolves (1990),1990,Dances with Wolves,46771.0,3.728956,0.9613659,0099348,581
1265,Groundhog Day (1993),1993,Groundhog Day,46512.0,3.9043903,0.8764282,0107048,137
1136,Monty Python and the Holy Grail (1975),1975,Monty Python and the Holy Grail,46508.0,4.1356325,0.9037165,0071853,762
1291,Indiana Jones and the Last Crusade (1989),1989,Indiana Jones and the Last Crusade,46401.0,3.9868646,0.863948,0097576,89
541,Blade Runner (1982),1982,Blade Runner,46289.0,4.1100044,0.9031161,0083658,78
6377,Finding Nemo (2003),2003,Finding Nemo,46128.0,3.8164997,0.8977346,0266543,12
4886,"Monsters, Inc. (2001)",2001,"Monsters, Inc.",46036.0,3.8374424,0.8860792,0198781,585
1721,Titanic (1997),1997,Titanic,45767.0,3.4019272,1.1293902,0120338,597
1036,Die Hard (1988),1988,Die Hard,45553.0,3.942309,0.8656944,0095016,562
1214,Alien (1979),1979,Alien,45211.0,4.0684013,0.88946396,0078748,348
6874,Kill Bill: Vol. 1 (2003),2003,Kill Bill: Vol. 1,45135.0,3.8535616,1.0100842,0266697,24
1193,One Flew Over the Cuckoo's Nest (1975),1975,One Flew Over the Cuckoo's Nest,44592.0,4.2042294,0.79236454,0073486,510
7361,Eternal Sunshine of the Spotless Mind (2004),2004,Eternal Sunshine of the Spotless Mind,44430.0,4.065294,0.8984305,0338013,38
1682,"Truman Show, The (1998)",1998,"Truman Show, The",44140.0,3.8918328,0.8163413,0120382,37165
1089,Reservoir Dogs (1992),1992,Reservoir Dogs,43730.0,4.0926824,0.83453304,0105236,500
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",43459.0,4.0821695,0.9420734,0211915,194
1221,"Godfather: Part II, The (1974)",1974,"Godfather: Part II, The",43111.0,4.2644687,0.8755873,0071562,240
648,Mission: Impossible (1996),1996,Mission: Impossible,42879.0,3.4111803,0.8997901,0117060,954
344,Ace Ventura: Pet Detective (1994),1994,Ace Ventura: Pet Detective,42728.0,3.0017552,1.1129788,0109040,3049
1213,Goodfellas (1990),1990,Goodfellas,42003.0,4.188427,0.80076844,0099685,769
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994,Léon: The Professional (a.k.a. The Professional) (Léon),41846.0,4.0937605,0.8062055,0110413,101
33794,Batman Begins (2005),2005,Batman Begins,41686.0,3.920405,0.8638017,0372784,272
8961,"Incredibles, The (2004)",2004,"Incredibles, The",41463.0,3.8482382,0.9100875,0317705,9806
595,Beauty and the Beast (1991),1991,Beauty and the Beast,41342.0,3.6791883,0.98986876,0101414,10020
4963,Ocean's Eleven (2001),2001,Ocean's Eleven,41217.0,3.813366,0.8299834,0240772,161
4995,"Beautiful Mind, A (2001)",2001,"Beautiful Mind, A",41139.0,3.9586039,0.8053027,0268978,453
1097,E.T. the Extra-Terrestrial (1982),1982,E.T. the Extra-Terrestrial,40585.0,3.729124,0.96107304,0083866,601
1527,"Fifth Element, The (1997)",1997,"Fifth Element, The",40550.0,3.7858694,0.94915897,0119116,18
3793,X-Men (2000),2000,X-Men,40334.0,3.5350325,0.92008287,0120903,36657
367,"Mask, The (1994)",1994,"Mask, The",40007.0,3.186905,0.9972049,0110475,854
60069,WALL·E (2008),2008,WALL·E,39993.0,4.0076137,0.8960658,0910970,10681
500,Mrs. Doubtfire (1993),1993,Mrs. Doubtfire,39296.0,3.3921773,0.95912987,0107614,788
597,Pretty Woman (1990),1990,Pretty Woman,39189.0,3.4345224,0.98423946,0100405,114
2329,American History X (1998),1998,American History X,38967.0,4.1304436,0.7677472,0120586,73
3147,"Green Mile, The (1999)",1999,"Green Mile, The",38965.0,4.0355577,0.8419758,0120689,497
1200,Aliens (1986),1986,Aliens,38846.0,4.0072594,0.9153087,0090605,679
5989,Catch Me If You Can (2002),2002,Catch Me If You Can,38652.0,3.956781,0.74648803,0264464,640
1258,"Shining, The (1980)",1980,"Shining, The",38640.0,4.036439,0.87986255,0081505,694
5349,Spider-Man (2002),2002,Spider-Man,38627.0,3.4794445,0.9468569,0145487,557
165,Die Hard: With a Vengeance (1995),1995,Die Hard: With a Vengeance,38488.0,3.5161219,0.8983135,0112864,1572
5445,Minority Report (2002),2002,Minority Report,38446.0,3.6975238,0.8241858,0181689,180
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),1984,Ghostbusters (a.k.a. Ghost Busters),38267.0,3.7626545,0.8793296,0087332,620
2628,Star Wars: Episode I - The Phantom Menace (1999),1999,Star Wars: Episode I - The Phantom Menace,37973.0,3.0634925,1.1437594,0120915,1893
5418,"Bourne Identity, The (2002)",2002,"Bourne Identity, The",37489.0,3.9033582,0.83541197,0258463,2501
7438,Kill Bill: Vol. 2 (2004),2004,Kill Bill: Vol. 2,37301.0,3.824482,0.99352306,0378194,393
109487,Interstellar (2014),2014,Interstellar,37157.0,4.133447,0.8948897,0816692,157336
733,"Rock, The (1996)",1996,"Rock, The",37001.0,3.671063,0.91899633,0117500,9802
1206,"Clockwork Orange, A (1971)",1971,"Clockwork Orange, A",36818.0,3.985442,1.0014955,0066921,185
231,Dumb & Dumber (Dumb and Dumber) (1994),1994,Dumb & Dumber (Dumb and Dumber),36802.0,2.982691,1.2034544,0109686,8467
111,Taxi Driver (1976),1976,Taxi Driver,36647.0,4.076664,0.8547402,0075314,103
59315,Iron Man (2008),2008,Iron Man,36468.0,3.8151393,0.9242947,0371746,1726
68954,Up (2009),2009,Up,36382.0,3.9504426,0.8848158,1049413,14160
1732,"Big Lebowski, The (1998)",1998,"Big Lebowski, The",36349.0,3.9925308,0.95337003,0118715,115
2997,Being John Malkovich (1999),1999,Being John Malkovich,36151.0,3.9338884,0.9319516,0120601,492
34,Babe (1995),1995,Babe,35969.0,3.586936,1.110269,0112431,9598
924,2001: A Space Odyssey (1968),1968,2001: A Space Odyssey,35934.0,3.9951718,1.0316076,0062622,62
4878,Donnie Darko (2001),2001,Donnie Darko,35452.0,3.9355326,0.94306946,0246578,141
736,Twister (1996),1996,Twister,35315.0,3.192043,1.0055076,0117998,664
778,Trainspotting (1996),1996,Trainspotting,35303.0,4.00888,0.88652796,0117951,627
153,Batman Forever (1995),1995,Batman Forever,35288.0,2.862687,0.96519476,0112462,414
48516,"Departed, The (2006)",2006,"Departed, The",35236.0,4.1313715,0.77265936,0407887,1422
316,Stargate (1994),1994,Stargate,35215.0,3.3812296,0.9459613,0111282,2164
44191,V for Vendetta (2006),2006,V for Vendetta,35173.0,3.9038467,0.89189184,0434409,752
72998,Avatar (2009),2009,Avatar,35043.0,3.5943127,1.0795085,0499549,19995
68157,Inglourious Basterds (2009),2009,Inglourious Basterds,34888.0,4.03795,0.88565373,0361748,16869
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),2001,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),34825.0,3.6884854,1.0085891,0241527,671
586,Home Alone (1990),1990,Home Alone,34648.0,3.1783075,1.0240197,0099785,771
2918,Ferris Bueller's Day Off (1986),1986,Ferris Bueller's Day Off,33683.0,3.9081583,0.8761759,0091042,9377
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2000,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",33343.0,3.8394716,0.9746967,0190332,146
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001,Spirited Away (Sen to Chihiro no kamikakushi),33333.0,4.213107,0.9122755,0245429,129
1961,Rain Man (1988),1988,Rain Man,33284.0,3.9013941,0.7826629,0095953,380
48780,"Prestige, The (2006)",2006,"Prestige, The",32965.0,4.117731,0.7749821,0482571,1124
1617,L.A. Confidential (1997),1997,L.A. Confidential,32831.0,4.055649,0.82177067,0119488,2118
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,32830.0,4.2026806,0.8834906,0057012,935
3114,Toy Story 2 (1999),1999,Toy Story 2,32683.0,3.812043,0.9552976,0120363,863
1073,Willy Wonka & the Chocolate Factory (1971),1971,Willy Wonka & the Chocolate Factory,32575.0,3.7156563,0.9594853,0067992,252
1208,Apocalypse Now (1979),1979,Apocalypse Now,32518.0,4.1199026,0.88425034,0078788,28
4011,Snatch (2000),2000,Snatch,32509.0,4.0669813,0.83348835,0208092,107
1222,Full Metal Jacket (1987),1987,Full Metal Jacket,32501.0,4.0490294,0.78620064,0093058,600
10,GoldenEye (1995),1995,GoldenEye,32474.0,3.42785,0.87551564,0113189,710
587,Ghost (1990),1990,Ghost,32382.0,3.4419894,0.98942524,0099653,251
4022,Cast Away (2000),2000,Cast Away,32200.0,3.6836956,0.8793386,0162222,8358
912,Casablanca (1942),1942,Casablanca,32190.0,4.194517,0.9012365,0034583,289
539,Sleepless in Seattle (1993),1993,Sleepless in Seattle,32129.0,3.51024,0.970239,0108160,858
99114,Django Unchained (2012),2012,Django Unchained,32043.0,4.026371,0.8623457,1853728,68718
253,Interview with the Vampire: The Vampire Chronicles (1994),1994,Interview with the Vampire: The Vampire Chronicles,31756.0,3.5143752,0.9363996,0110148,628
8368,Harry Potter and the Prisoner of Azkaban (2004),2004,Harry Potter and the Prisoner of Azkaban,31427.0,3.8174977,0.96579653,0304141,673
208,Waterworld (1995),1995,Waterworld,31329.0,2.877414,1.0351329,0114898,9804
349,Clear and Present Danger (1994),1994,Clear and Present Danger,31300.0,3.6546166,0.8216744,0109444,9331
1246,Dead Poets Society (1989),1989,Dead Poets Society,31035.0,3.9384243,0.86045104,0097165,207
39,Clueless (1995),1995,Clueless,30616.0,3.429024,0.9917637,0112697,9603
91529,"Dark Knight Rises, The (2012)",2012,"Dark Knight Rises, The",30369.0,3.9635649,0.93520194,1345836,49026
357,Four Weddings and a Funeral (1994),1994,Four Weddings and a Funeral,30312.0,3.6414456,0.9315829,0109831,712
5816,Harry Potter and the Chamber of Secrets (2002),2002,Harry Potter and the Chamber of Secrets,29900.0,3.6472073,0.9962775,0295297,672
6365,"Matrix Reloaded, The (2003)",2003,"Matrix Reloaded, The",29835.0,3.372616,1.0539612,0234215,604
2324,Life Is Beautiful (La Vita è bella) (1997),1997,Life Is Beautiful (La Vita è bella),29819.0,4.150374,0.9362023,0118799,637
1968,"Breakfast Club, The (1985)",1985,"Breakfast Club, The",29669.0,3.8315582,0.876076,0088847,2108
4027,"O Brother, Where Art Thou? (2000)",2000,"O Brother, Where Art Thou?",29593.0,3.8739905,0.9136962,0190590,134
2706,American Pie (1999),1999,American Pie,29519.0,3.2760086,1.134838,0163651,2105
6,Heat (1995),1995,Heat,29490.0,3.8682773,0.874817,0113277,949
1923,There's Something About Mary (1998),1998,There's Something About Mary,29426.0,3.5118773,1.0357271,0129387,544
2115,Indiana Jones and the Temple of Doom (1984),1984,Indiana Jones and the Temple of Doom,29294.0,3.6989315,0.910599,0087469,87
1387,Jaws (1975),1975,Jaws,29265.0,3.7850163,0.97092754,0073195,578
919,"Wizard of Oz, The (1939)",1939,"Wizard of Oz, The",29260.0,3.919942,0.97101986,0032138,630
3949,Requiem for a Dream (2000),2000,Requiem for a Dream,29235.0,3.9839234,0.942422,0180093,641
74458,Shutter Island (2010),2010,Shutter Island,29096.0,3.9931262,0.83523387,1130884,11324
2683,Austin Powers: The Spy Who Shagged Me (1999),1999,Austin Powers: The Spy Who Shagged Me,29089.0,3.1995428,1.0961494,0145660,817
2,Jumanji (1995),1995,Jumanji,28904.0,3.2757578,0.9555445,0113497,8844
2291,Edward Scissorhands (1990),1990,Edward Scissorhands,28689.0,3.725888,0.89414424,0099487,162
2502,Office Space (1999),1999,Office Space,28330.0,3.9910166,0.83707476,0151804,1542
2011,Back to the Future Part II (1989),1989,Back to the Future Part II,28236.0,3.593533,0.9621485,0096874,165
50872,Ratatouille (2007),2007,Ratatouille,28187.0,3.8322985,0.89369255,0382932,2062
134130,The Martian (2015),2015,The Martian,28104.0,4.024783,0.81432897,3659388,286217
32587,Sin City (2005),2005,Sin City,28015.0,3.758897,0.9821299,0401792,187
223,Clerks (1994),1994,Clerks,27906.0,3.8398552,0.97895455,0109445,2292
292,Outbreak (1995),1995,Outbreak,27883.0,3.4108596,0.8686345,0114069,6950
329,Star Trek: Generations (1994),1994,Star Trek: Generations,27773.0,3.3230295,0.9669981,0111280,193
49272,Casino Royale (2006),2006,Casino Royale,27689.0,3.8356025,0.86267555,0381061,36557
1517,Austin Powers: International Man of Mystery (1997),1997,Austin Powers: International Man of Mystery,27589.0,3.4132807,1.083278,0118655,816
2396,Shakespeare in Love (1998),1998,Shakespeare in Love,27514.0,3.7738423,1.0103503,0138097,1934
5378,Star Wars: Episode II - Attack of the Clones (2002),2002,Star Wars: Episode II - Attack of the Clones,27415.0,3.0236914,1.1441383,0121765,1894
55820,No Country for Old Men (2007),2007,No Country for Old Men,27384.0,4.050814,0.8847006,0477348,6977
1259,Stand by Me (1986),1986,Stand by Me,27367.0,3.9866629,0.7828212,0092005,235
1307,When Harry Met Sally... (1989),1989,When Harry Met Sally...,27362.0,3.835721,0.9334918,0098635,639
1080,Monty Python's Life of Brian (1979),1979,Monty Python's Life of Brian,27292.0,3.987304,0.89324963,0079470,583
454,"Firm, The (1993)",1993,"Firm, The",27224.0,3.502314,0.81296146,0106918,37233
1784,As Good as It Gets (1997),1997,As Good as It Gets,27176.0,3.7716,0.90204346,0119822,2898
1219,Psycho (1960),1960,Psycho,27027.0,4.0625114,0.8570522,0054215,539
8636,Spider-Man 2 (2004),2004,Spider-Man 2,26989.0,3.449294,1.0011638,0316654,558
1653,Gattaca (1997),1997,Gattaca,26958.0,3.822817,0.86516154,0119177,782
54286,"Bourne Ultimatum, The (2007)",2007,"Bourne Ultimatum, The",26934.0,3.8992538,0.8742103,0440963,2503
2916,Total Recall (1990),1990,Total Recall,26920.0,3.6287334,0.87163454,0100802,861
8874,Shaun of the Dead (2004),2004,Shaun of the Dead,26914.0,3.8780189,0.91693294,0365748,747
106782,"Wolf of Wall Street, The (2013)",2013,"Wolf of Wall Street, The",26861.0,3.9342728,0.9144881,0993846,106646
2355,"Bug's Life, A (1998)",1998,"Bug's Life, A",26736.0,3.5581052,0.9048212,0120623,9487
1917,Armageddon (1998),1998,Armageddon,26671.0,3.0057554,1.1277322,0120591,95
1393,Jerry Maguire (1996),1996,Jerry Maguire,26643.0,3.5950718,0.92470825,0116695,9390
112852,Guardians of the Galaxy (2014),2014,Guardians of the Galaxy,26482.0,3.9101844,0.95539117,2015381,118340
288,Natural Born Killers (1994),1994,Natural Born Killers,26472.0,3.2615595,1.1778971,0110632,241
89745,"Avengers, The (2012)",2012,"Avengers, The",26315.0,3.733574,1.0508032,0848228,24428
6711,Lost in Translation (2003),2003,Lost in Translation,26273.0,3.7936854,1.0007405,0335266,153
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",2006,"Pan's Labyrinth (Laberinto del fauno, El)",26258.0,3.969038,0.91829914,0457430,1417
1610,"Hunt for Red October, The (1990)",1990,"Hunt for Red October, The",26219.0,3.871105,0.8328229,0099810,1669
40815,Harry Potter and the Goblet of Fire (2005),2005,Harry Potter and the Goblet of Fire,26211.0,3.762142,0.9861367,0330373,674
2012,Back to the Future Part III (1990),1990,Back to the Future Part III,26166.0,3.3676527,1.0098726,0099088,196
8360,Shrek 2 (2004),2004,Shrek 2,26102.0,3.4748487,1.0031222,0298148,809
551,"Nightmare Before Christmas, The (1993)",1993,"Nightmare Before Christmas, The",26081.0,3.7421494,0.96824497,0107688,9479
1584,Contact (1997),1997,Contact,25896.0,3.7011313,0.94744414,0118884,686
8665,"Bourne Supremacy, The (2004)",2004,"Bourne Supremacy, The",25836.0,3.8454094,0.85376626,0372183,2502
434,Cliffhanger (1993),1993,Cliffhanger,25769.0,3.0520976,0.92782897,0106582,9350
63082,Slumdog Millionaire (2008),2008,Slumdog Millionaire,25745.0,3.8221402,0.88962364,1010048,12405
6016,City of God (Cidade de Deus) (2002),2002,City of God (Cidade de Deus),25688.0,4.1786633,0.84524447,0317248,598
185,"Net, The (1995)",1995,"Net, The",25669.0,3.1011336,0.9609193,0113957,1642
2987,Who Framed Roger Rabbit? (1988),1988,Who Framed Roger Rabbit?,25451.0,3.551884,0.9447661,0096438,856
3948,Meet the Parents (2000),2000,Meet the Parents,25370.0,3.3842332,0.9956247,0212338,1597
161,Crimson Tide (1995),1995,Crimson Tide,25270.0,3.7449348,0.825348,0112740,8963
46578,Little Miss Sunshine (2006),2006,Little Miss Sunshine,25057.0,3.8611565,0.8746456,0449059,773
1225,Amadeus (1984),1984,Amadeus,24986.0,4.072641,0.84041065,0086879,279
339,While You Were Sleeping (1995),1995,While You Were Sleeping,24940.0,3.496251,0.93497,0114924,2064
2791,Airplane! (1980),1980,Airplane!,24936.0,3.8069057,0.96564716,0080339,813
904,Rear Window (1954),1954,Rear Window,24883.0,4.226701,0.77754796,0047396,567
19,Ace Ventura: When Nature Calls (1995),1995,Ace Ventura: When Nature Calls,24849.0,2.66391,1.1657696,0112281,9273
51662,300 (2007),2007,300,24833.0,3.548222,1.0541669,0416449,1271
21,Get Shorty (1995),1995,Get Shorty,24829.0,3.5650852,0.9231228,0113161,8012
70286,District 9 (2009),2009,District 9,24808.0,3.8061714,0.9193224,1136608,17654
33493,Star Wars: Episode III - Revenge of the Sith (2005),2005,Star Wars: Episode III - Revenge of the Sith,24773.0,3.3887095,1.1233501,0121766,1895
2174,Beetlejuice (1988),1988,Beetlejuice,24681.0,3.51645,0.9416274,0094721,4011
6333,X2: X-Men United (2003),2003,X2: X-Men United,24680.0,3.5699756,0.9179794,0290334,36658
116797,The Imitation Game (2014),2014,The Imitation Game,24460.0,3.9924774,0.803871,2084970,205596
2542,"Lock, Stock & Two Smoking Barrels (1998)",1998,"Lock, Stock & Two Smoking Barrels",24152.0,4.028093,0.8435844,0120735,100
56367,Juno (2007),2007,Juno,24094.0,3.7047398,0.92975414,0467406,7326
1101,Top Gun (1986),1986,Top Gun,24068.0,3.4197066,1.0016001,0092099,744
1220,"Blues Brothers, The (1980)",1980,"Blues Brothers, The",24039.0,3.8010316,0.9564272,0080455,525
3897,Almost Famous (2000),2000,Almost Famous,24024.0,3.8308775,0.8867842,0181875,786
2797,Big (1988),1988,Big,24016.0,3.620503,0.8879503,0094737,2280
5218,Ice Age (2002),2002,Ice Age,24005.0,3.5244532,0.95496505,0268380,425
1573,Face/Off (1997),1997,Face/Off,23875.0,3.3280838,1.0246526,0119094,754
6934,"Matrix Revolutions, The (2003)",2003,"Matrix Revolutions, The",23699.0,3.2361703,1.1108806,0242653,605
141,"Birdcage, The (1996)",1996,"Birdcage, The",23546.0,3.513739,0.978193,0115685,11000
8644,"I, Robot (2004)",2004,"I, Robot",23382.0,3.4726286,0.912644,0343818,2048
69122,"Hangover, The (2009)",2009,"Hangover, The",23372.0,3.594964,1.0190303,1119646,18785
1625,"Game, The (1997)",1997,"Game, The",23310.0,3.8745174,0.85299057,0119174,2649
95,Broken Arrow (1996),1996,Broken Arrow,23156.0,3.0771074,0.9624134,0115759,9208
122904,Deadpool (2016),2016,Deadpool,23147.0,3.850283,1.0141232,1431045,293660
104,Happy Gilmore (1996),1996,Happy Gilmore,22963.0,3.397988,1.0735675,0116483,9614
2617,"Mummy, The (1999)",1999,"Mummy, The",22927.0,3.2302308,1.0548401,0120616,564
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1966,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",22922.0,4.1340632,0.8403107,0060196,429
923,Citizen Kane (1941),1941,Citizen Kane,22920.0,4.0713787,0.98693913,0033467,15
508,Philadelphia (1993),1993,Philadelphia,22912.0,3.8042073,0.8731884,0107818,9800
3751,Chicken Run (2000),2000,Chicken Run,22822.0,3.4687364,1.0081271,0120630,7443
2710,"Blair Witch Project, The (1999)",1999,"Blair Witch Project, The",22780.0,2.9161105,1.2286401,0185937,2667
5995,"Pianist, The (2002)",2002,"Pianist, The",22683.0,4.052859,0.83075637,0253474,423
1079,"Fish Called Wanda, A (1988)",1988,"Fish Called Wanda, A",22610.0,3.825763,0.8945049,0095159,623
25,Leaving Las Vegas (1995),1995,Leaving Las Vegas,22525.0,3.676182,1.0337187,0113627,451
1485,Liar Liar (1997),1997,Liar Liar,22475.0,3.2527475,0.9754488,0119528,1624
1247,"Graduate, The (1967)",1967,"Graduate, The",22319.0,4.0210805,0.85823816,0061722,37247
16,Casino (1995),1995,Casino,22298.0,3.8383486,0.8543418,0112641,524
3623,Mission: Impossible II (2000),2000,Mission: Impossible II,22254.0,2.98252,1.0516201,0120755,955
17,Sense and Sensibility (1995),1995,Sense and Sensibility,22251.0,3.945126,0.9670411,0114388,4584
2692,Run Lola Run (Lola rennt) (1998),1998,Run Lola Run (Lola rennt),22239.0,3.9599352,0.843517,0130827,104
1356,Star Trek: First Contact (1996),1996,Star Trek: First Contact,22188.0,3.6553316,0.99258983,0117731,199
2000,Lethal Weapon (1987),1987,Lethal Weapon,22152.0,3.6973186,0.8693233,0093409,941
7147,Big Fish (2003),2003,Big Fish,22072.0,3.798002,0.88939404,0319061,587
788,"Nutty Professor, The (1996)",1996,"Nutty Professor, The",22021.0,2.7973526,1.105174,0117218,9327
1203,12 Angry Men (1957),1957,12 Angry Men,21863.0,4.2653112,0.7777087,0050083,389
36,Dead Man Walking (1995),1995,Dead Man Walking,21759.0,3.9205616,0.8985424,0112818,687
3408,Erin Brockovich (2000),2000,Erin Brockovich,21645.0,3.5805035,0.9134858,0195685,462
109374,"Grand Budapest Hotel, The (2014)",2014,"Grand Budapest Hotel, The",21554.0,4.0289736,0.8925644,2278388,120467
134853,Inside Out (2015),2015,Inside Out,21483.0,3.9099753,0.96301574,2096673,150540
45722,Pirates of the Caribbean: Dead Man's Chest (2006),2006,Pirates of the Caribbean: Dead Man's Chest,21481.0,3.4652717,1.0006537,0383574,58
3977,Charlie's Angels (2000),2000,Charlie's Angels,21392.0,2.7400663,1.0859123,0160127,4327
6502,28 Days Later (2002),2002,28 Days Later,21390.0,3.7721364,0.8993713,0289043,170
80463,"Social Network, The (2010)",2010,"Social Network, The",21335.0,3.780314,0.8762844,1285016,37799
122882,Mad Max: Fury Road (2015),2015,Mad Max: Fury Road,21315.0,3.8687074,1.0382077,1392190,76341
68358,Star Trek (2009),2009,Star Trek,21229.0,3.8002496,0.9500233,0796366,13475
300,Quiz Show (1994),1994,Quiz Show,21085.0,3.6608253,0.81315374,0110932,11450
54001,Harry Potter and the Order of the Phoenix (2007),2007,Harry Potter and the Order of the Phoenix,21073.0,3.7549472,1.0077893,0373889,675
1676,Starship Troopers (1997),1997,Starship Troopers,21043.0,3.329183,1.0932922,0120201,563
